epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_spec,train_gmean,val_loss,val_acc,val_prec,val_rec,val_f1,val_spec,val_gmean,time_sec
1,0.32105418058430274,0.7379217791411042,0.8926111458985598,0.735741935483871,0.8066204555099731,0.744220730797912,0.7399691891588979,0.3686905562877655,0.5544871794871795,0.8181818181818182,0.36923076923076925,0.508833922261484,0.8632478632478633,0.5645685720829902,671.2744569778442
2,0.27150703148870936,0.834930981595092,0.9474465558194775,0.8234838709677419,0.881126604997929,0.8680089485458613,0.8454533511573453,0.3547402709722519,0.7291666666666666,0.8221574344023324,0.7230769230769231,0.7694406548431105,0.7393162393162394,0.7311514969591381,118.02731108665466
3,0.24003160617700436,0.8531441717791411,0.9475957385545638,0.8492903225806452,0.8957539466521502,0.8642803877703207,0.8567525718254838,0.3290844649076462,0.6842948717948718,0.8458781362007168,0.6051282051282051,0.7055306427503737,0.8162393162393162,0.7028011328896466,121.08754181861877
4,0.21596922125758194,0.8711656441717791,0.9635311143270622,0.8590967741935484,0.9083219645293316,0.9060402684563759,0.8822563527231352,0.3170114651322365,0.7003205128205128,0.8487972508591065,0.6333333333333333,0.7254038179148311,0.811965811965812,0.7171087882915773,118.0807695388794
5,0.2033039316898439,0.8633052147239264,0.9593259732713538,0.8521290322580645,0.9025556922235889,0.8956002982848621,0.8735943082847515,0.3062033995985985,0.7211538461538461,0.8552631578947368,0.6666666666666666,0.7492795389048992,0.811965811965812,0.7357380928771741,118.51756882667542
6,0.19460742320956254,0.8629217791411042,0.9574406485234511,0.8534193548387097,0.9024423522990859,0.8903803131991052,0.8717039591807925,0.3025531992316246,0.7467948717948718,0.8493975903614458,0.7230769230769231,0.7811634349030471,0.7863247863247863,0.7540380010548842,120.64346098899841
7,0.1811772379569891,0.8740414110429447,0.9671893147502904,0.8596129032258064,0.9102336384752016,0.9157345264727815,0.8872300800161009,0.3020621180534363,0.7708333333333334,0.847887323943662,0.7717948717948718,0.8080536912751678,0.7692307692307693,0.770511753913678,119.47450089454651
8,0.1771312406877192,0.8761503067484663,0.9646043165467626,0.8650322580645161,0.912108843537415,0.9082774049217002,0.8863911408223782,0.28745409846305847,0.7451923076923077,0.8575851393188855,0.7102564102564103,0.7769985974754559,0.8034188034188035,0.7554027768341469,120.42859697341919
9,0.17032619774705027,0.8805598159509203,0.9645714285714285,0.8712258064516128,0.9155254237288135,0.9075316927665921,0.8891934721481999,0.28330245465040205,0.7580128205128205,0.8588588588588588,0.7333333333333333,0.7911479944674965,0.7991452991452992,0.7655324199796414,117.91852045059204
10,0.16368280314817663,0.8790260736196319,0.9623717217787914,0.8712258064516128,0.9145333875118515,0.901565995525727,0.886266078286455,0.2802267909049988,0.7612179487179487,0.8662613981762918,0.7307692307692307,0.7927677329624478,0.811965811965812,0.7702984043999898,118.30649590492249
11,0.16251837253207113,0.879792944785276,0.9626780626780627,0.872,0.9150981719702099,0.9023117076808352,0.8870263857956472,0.2862775266170502,0.7900641025641025,0.8528610354223434,0.8025641025641026,0.8269484808454426,0.7692307692307693,0.7857206895407468,118.91824674606323
12,0.15800091360763804,0.8857361963190185,0.9680274050813589,0.8750967741935484,0.9192193006234752,0.9164802386278896,0.895549496362652,0.2733005091547966,0.7676282051282052,0.8656716417910447,0.7435897435897436,0.8,0.8076923076923077,0.7749785261388418,120.44392824172974
13,0.1539240879256551,0.8828604294478528,0.9670864338866628,0.872,0.9170850861718007,0.9142431021625652,0.8928717629568967,0.2711453914642334,0.7772435897435898,0.863768115942029,0.764102564102564,0.8108843537414966,0.7991452991452992,0.7814275220181548,120.41509461402893
14,0.14868202596539404,0.8888036809815951,0.9692395328966107,0.8781935483870967,0.9214730571351205,0.9194630872483222,0.8985914261785268,0.2726886510848999,0.780448717948718,0.856338028169014,0.7794871794871795,0.8161073825503355,0.782051282051282,0.7807681781812618,119.69633722305298
15,0.14460477878044292,0.8924463190184049,0.9715424018212863,0.8810322580645161,0.9240763296792529,0.9254287844891872,0.9029577020416898,0.27629097551107407,0.8076923076923077,0.8571428571428571,0.8307692307692308,0.84375,0.7692307692307693,0.7994080650317895,120.42215967178345
16,0.14383359089857195,0.8966641104294478,0.9711864406779661,0.8872258064516129,0.9273095077545516,0.9239373601789709,0.9053955320717911,0.26730473041534425,0.8028846153846154,0.8637602179836512,0.8128205128205128,0.8375165125495376,0.7863247863247863,0.7994628922370274,120.32047772407532
17,0.14252303495276264,0.8930214723926381,0.9686352076857869,0.8846451612903226,0.924736984084165,0.9172259507829977,0.9007882654487094,0.2676861584186554,0.8028846153846154,0.8617886178861789,0.8153846153846154,0.8379446640316206,0.782051282051282,0.7985440400043257,120.94036364555359
18,0.14171139450698364,0.8914877300613497,0.9675049448996892,0.8836129032258064,0.9236579444294578,0.9142431021625652,0.898797531013538,0.26142203360795974,0.7916666666666666,0.8631284916201117,0.7923076923076923,0.8262032085561497,0.7905982905982906,0.7914525299513154,118.88406729698181
19,0.1388204340345976,0.8966641104294478,0.9701240135287486,0.888258064516129,0.9273878485787418,0.9209545115585384,0.9044585518111841,0.26395138949155805,0.8044871794871795,0.8641304347826086,0.8153846153846154,0.8390501319261213,0.7863247863247863,0.8007228818166905,119.61153793334961
20,0.13616586794576993,0.8943634969325154,0.9718909710391823,0.8833548387096775,0.9255103420305529,0.9261744966442953,0.9045113172869857,0.2586944654583931,0.7980769230769231,0.8646408839779005,0.8025641025641026,0.8324468085106383,0.7905982905982906,0.7965587282697558,118.46459603309631
